CustomerChannelID,CustomerID,ChannelTypeID,ChannelValue,InsertDate
25,21,2,ooteyphmrjajvtkugxcyupazwtojiqthdbxcyfbpouhlkqmnvfhwumze,2023-06-06 12:26:01
26,95,5,ecklecleqmfopmncytpodavubnazgeiohadetugmpscqgvryevocovhg,2023-03-27 18:07:10
27,29,3,laufnyzzlfhfrdztqnuhildugyvuwjwpjbrqjahageprsfprymqylwkz,2023-02-03 19:13:07
28,60,2,dnixgllyedprwjewtwiqlvyjyzvyticlrmhnfznbybrwdyoxbksvqxob,2022-02-28 19:35:04
29,1,5,bnvwewxzmjyoxaeqpcrnhvgaxrfqtjlliufcomqzjdstpjjtdpbfqvem,2023-07-29 12:17:10
30,47,5,qzdsmwtejfuwonzoqsiyhexahbzfhtizbylswovsezxsdcvruyuttxjl,2023-06-17 04:42:50
31,19,5,kivmzktcpxarnevzqnanylrfjjcogjhlicqikbqheugcpzbgamfoahgm,2022-02-15 14:55:40
32,90,1,bbpmtooosuywlgfrmfpvshgwgobvdehetglfmosoyvilgzwpexsijbzk,2023-07-13 21:03:43
33,14,5,qdxjeabwkdpgkauqvixgjfwvqjknmntseshbwhnuhcxumrrytnrzhbwp,2023-08-17 00:37:57
34,80,1,ogxcosttorjwjijkhtdrwnqjktmzalayqxbtsyplqexkgywmxlcigxwl,2023-05-11 22:27:58
35,53,1,yvqvigzvjdotzgoywpxraypjwlszqqcqhtwpyxrfljwqqibeguygrhhv,2022-12-01 21:50:01
36,9,5,gwshanomqtootphesypmvnjdjcinygxexiolrfcpjyuletdaqccmnlnt,2022-10-14 13:02:25
37,27,1,rsqzwvlxvueehbmrmobcashtspkptauofsyjwjgtvxbmbdmqhxvhypef,2023-01-31 03:21:59
38,79,2,iawcebwehrtewwmandgymiyceuhwxejopxxuvxxtzboqwfwqgvyluugq,2023-05-07 14:23:21
39,55,1,allygrscnzrorbvfbooeqncbkyhwvkurqushostjdgttjdrupjzsxkys,2022-08-12 12:38:26
40,66,2,hkeqhclovdqeaoxcdeyndedfuynsntmaxbqhvxqhwjnsolprlewslcab,2023-03-06 10:39:54
41,63,2,tugdloxyxibnapmhtiqwcpvgvacshfimjbalcwqkjtlyuyksqygwpvdp,2022-07-09 23:31:49
42,6,5,tbtuajuhmsizzhqgbaxefdsekcjqekcrvcgzmvifnoukvmhqrkctjejx,2023-01-04 19:06:44
43,77,3,hpwkzbxtfhsotiejhlcabyzsonurqwzthzgvsdxwsgtbgxdpytjdxqra,2023-06-19 10:34:22
44,18,1,uvisiupmuspxjqvhvzifsuxyyruqlmzojrupizppdnkuahvqahdfdbvs,2023-08-19 11:19:32
45,42,5,mujrijdwlwjbkgbxloukvkbhvwjlvnmnmuzwnqadodcjwgofllbnrdpk,2022-05-23 13:03:04
46,15,2,wadxmcgcuokbtvychqylrbtwkjwccfabnnippnyqggxmhukzeuclbwaa,2022-07-18 06:12:39
47,48,2,mzjoxtepldyfpidjdtvkmndiggrtmhkzqgtovtyfqoyxslpssyfwanuw,2023-08-07 20:10:16
48,59,5,cewunommpvuxjmckllrgrtlntwxyncbcltiflioowhbunqmajuyerfpa,2023-06-27 17:08:38
49,70,4,dxsdufcgppewsihlioqghfgtjolthgituoaowixdccvqmmfoobrksjjc,2022-06-30 07:24:23
50,57,5,tmbqgmmsciqapecoaqirpmyalxlwmoribyprxfdquogxbemdolzvgoyt,2022-11-09 03:23:57
51,4,1,mmvszvpzouywubzskabblimpxxznvprfwwhtthubtmpojxcrdsodsykw,2022-01-25 18:30:32
52,46,5,kdpszyjhrdmqxmjtiwcrmcccxiqoofafptghtgnnxqhfxcepvrguftef,2022-09-18 00:53:04
53,68,5,ninratopwvvdkypzzhimdreozwwmafshhemgsyxyrgzrrzcrfdgfbjgk,2022-06-15 12:34:55
54,17,3,scrgsntvhvioprcxofoahcqporwbanhgkplybyprsfshwhdbkjkumbbl,2023-04-13 12:14:58
55,51,1,knsusbqmxaahfdgouncltquttkimdcvpigmpizqwiwkghbvwflbnldij,2023-01-23 19:01:42
56,13,4,rwqtpgfwmuzdehwlgihvzlyxnjypxfckyhgxonpygjebcwwbxqfymrwm,2023-05-03 09:44:53
57,71,3,lzbkpzaovpyssqfdxmaejehihkkjhiervsuamrywoxjtkqdbnwpljogn,2022-11-18 10:40:35
58,49,3,gdwayyuujqexzrdpuzpifxzpmtdsgbrjljeosrbhbmhtspulkwhydgyl,2023-04-13 17:07:22
59,82,3,wwfxoookrmglseivrsmqtlfjawwfkvdcibahoublhzxrzbupkeryvbsj,2022-08-10 19:50:49
60,62,5,kdluzzhljkeuvtyacakvslajbssihqfvlgcuslflxsphjxfdfirihlpc,2022-05-31 13:46:06
61,20,2,dwffhfazstzrbilyfkpbpjirnagdigxvmkyrpvcgykcwkrmldhdygvgz,2022-07-17 16:02:17
62,61,3,zvxdbxdiejobaoyevrgotjsuzdxxxedxekdkdveizjlrsgqbqgqbrhjb,2022-07-27 03:04:15
63,2,3,gxepntjzfaocpzokcefgikbqqtebpcvzzlrstwogrmrjlynmcfvvceif,2023-08-10 19:46:06
64,89,2,mfjzhqfzrsemjkoavmjaaumpfveracirgwtbswthaueehikpglsuhgnq,2022-07-28 18:14:37
65,92,5,qnxbmjlnoxhgtuuqnbakfwaqhipstlzccxorqqbrcfdijalhpjhudiak,2022-06-01 19:41:13
66,11,2,sskfixgtwekxvvrlkummrpaqmlwphzkuyluuppuxgmnxxiwffmbawidu,2023-08-16 14:27:09
67,58,2,xxarhaxvhruvvpmrxoapbmbrzzhjrhalpeindkucyzddxdtqnwsfqnih,2022-07-25 23:24:57
68,52,2,kzqybjxowukftxugxzbqcwotlpzckbfcvaghloearzxmbcxlyocoufni,2023-07-16 06:51:06
69,25,2,bxekospxbiepfzmuoxdnxsfaykvvtmipqcapancrtdqvgbqrekqplgxh,2022-11-11 15:49:12
70,83,4,lcxfgbhsvxnocrfvrvpufjivqtebdsfueabjdiusdymouffmikmrredr,2022-02-06 12:53:07
71,74,3,huedaclgrxdkvcfvrlxwkmsoanhzalxnykfxgqnvpbxtmtnaknpiktni,2022-08-21 23:12:24
72,26,2,xmfsogoessepzgupymnejkszxxchhgggdaqjpvgmpsnhieebsxeeegyg,2022-07-26 09:54:43
73,94,2,bxccfmvkyuxqjrfwkboseupdnutjdylzchnycxxjncnymrhbgevtffmu,2022-06-05 21:26:54
74,22,5,vcbulfqkpjslsfetyrbuukdmwkecsybqdaafamllemeuqjvjwwmzvehb,2023-08-09 12:17:03
75,87,2,uinbmsvmtlsqwajogsrzinrvtofocfzlgtsynbbregvyjymlfyvumqnu,2023-07-16 14:46:27
76,73,3,qnbxgbyvfrxmqrtjrzttstshpnnmsincuqovykinfuwlpjdhuufekzlb,2022-04-23 08:17:18
77,88,5,kkrqeicgztdlhfjwctainlfofwsyicbvumunfxmwubdpakogdbjnaonb,2022-07-20 00:00:41
78,34,4,cirdhowjrogdraeezozeiaowenmwfrflxineakfouluvumwhrqrjiqbt,2022-12-01 02:08:38
79,43,1,kexezcejlnxdbhcrzzofjdjdrbiecsixexluvivflusnqmifgviovueh,2022-07-16 07:37:48
80,37,2,bxowjljgiwackekogawvhygpfqlhyoaypfjeenmtkqlxnqcdjurbrgea,2022-08-08 23:14:02
81,32,4,waojpijhaqplrdhczqlvowguvjxlqmbuxxyhgzwwyvlsncqkelvimsgo,2022-03-07 02:34:09
82,84,2,fqqamjlalwcrbolegnjqqpuxkvzgpzrxhuokaqqzjjtjsnjsycsfrpej,2023-01-25 07:25:02
83,8,1,ynosbuglitpgzstnfehsuepylywpdtepjdokugucarmzrhuvcvqhvzus,2023-07-12 16:25:59
84,39,1,zzqrdbfxdygqnamxebwkkwtsikdhjkicmdvncbmwvvytkeifgztjdooh,2022-11-03 18:31:01
85,100,2,qsiisrdmbeoqshikiowgidbqqxvqirjlmhvqteuaqbkmxladjxxemkja,2022-04-09 17:14:32
86,99,5,xblobxzaocpoejvqhkdcneshzrjzvhrmcvnyalamdrbuhhsrlzplatah,2022-07-31 00:35:36
87,54,1,ghamplbwnlcamlndbbxwmmxeftkodavtcevlmgcgjzzcfsnypifnqkgq,2023-05-09 12:41:52
88,64,4,bscqpfpxdetemxnjkiyocgnduvokgmklgeqijthudlcuxcgnajdjyoqi,2023-08-11 22:39:25
89,24,4,vlygjnmuhypjjrsbmdckaidtauhvkeoesdbpvpsvuqfdexvcbswqqsuk,2023-06-20 23:28:07
90,50,3,xcqgmyxqppxqpudlzjsmvxdhcxipumuxgelbcqgrcfvameclrcpdzxgm,2022-03-15 12:41:22
91,7,2,gulabfngqmyedvbrxyqstdxfewwuyhqjcrkwvbiccsilsihhdbazkllq,2022-04-09 05:42:06
92,56,4,morlaqomhwwdpkxvkigrguttvuzqzlpxodvfyljvolvqobmottusgxpu,2022-11-28 12:59:26
93,16,4,nyywkuepfrmyxtzfzjnzcfrmhdxldvywcvmoqdxzzfvsqpcrfefckttz,2023-03-09 19:28:49
94,28,2,cruedmacpeiszbngezjswzifttelzintszczjkovgztedbaulopuzzxc,2022-12-24 15:03:27
95,10,4,kvguifzrdtipkrbfvemmkhvmmjmnlibfrplfibhlllntrrkwhkjnfijl,2022-04-10 09:38:32
96,78,5,fjaxcqsbrloibcxhkholarwpzejfvllwijwzorkiswlbxaitjmukvpph,2023-02-20 04:32:33
97,33,2,ktvubkvnhhewcwstvlwkvgxaqyculzwinxlntjmdoauotbckexbjluxa,2022-08-01 04:20:49
98,81,1,csqimchvyldcsdrzjffccuraikgnfpscsewnxiyhzirueeenfjobxnli,2022-09-15 11:06:28
99,65,2,wzruuzqlsbtxvbifzvcmceyvghplhzlvyuutclmpsmztogzvdkhehckt,2022-08-14 18:07:02
100,13,5,fzhsshntldwlyrgjsixpfnlrlsanjyqtijwcbbpadnqaueconvybxfci,2023-07-16 05:47:52
101,38,3,cemnzgaywdgzokkkvhbvdukcpfboqhddxbvwcbnoijfvpmyqiyakthsl,2022-08-06 22:49:21
102,64,5,uoixlphcnhnsiedrrffgwibjphukazmcgcfmedezgyqecmypwvigcmli,2022-05-14 20:07:17
103,43,2,blxtbbcwupgilutudxlpruzsheejuihtkxfhrojwzxhfmibxpgnwlmbr,2023-04-30 13:43:23
104,42,5,fpmlfgegkwhzscvtisfvslglrdrknlmkwtczdlsheqmlfzleegvoavfr,2023-01-03 08:14:49
105,28,2,oxqmdfksrjrwkbqmbdcjtadtviuxjtwujvaravjglrowxswhehgjgnil,2022-06-11 15:06:49
106,87,4,sdduvueemfvqngejlrqpxrotfnnlmzwxstrlbgyumucsxtdkiddtntgg,2022-07-30 09:06:37
107,27,3,nktqwwdhwlifoomqirrmnffyayabrubfmagrbtieqwzkgxstwnlutrlu,2023-04-22 08:34:35
108,99,2,zdzvwjocloauuvoafhqdrjxioxdxhckgrvswaxxouftfnktzzgrzzeru,2023-02-28 10:22:48
109,80,5,pfduqcchzpsilmtqnfjqelbpsdkksjkocqyeekncvlmtscvgrazsivsg,2022-11-30 19:45:02
110,57,1,kerzuzkvbwpyskuwvtdeitkurlqlxeizimpwqfyankzisxrtzjbnxrmv,2022-02-12 17:31:53
111,59,4,dpbulluwynauynfhpbatekmgsfkwvebfylhautcrflkwimkhmpllciwy,2023-08-11 05:58:14
112,70,4,lhfppycwbdmpakepflbaskxlpggmfzkwldynkafxiruuqmoyfjnqcfmt,2023-08-05 04:57:55
113,31,2,dygresoqvziskzfindqgprhsniqytktuxeanvyfctareeuhxnjnxuvqd,2023-07-26 21:57:20
114,52,1,lobhchrxysdpdrkryixianmyajkpusrefftliujkhpmbgmynezpxeefj,2023-02-13 00:31:08
115,90,2,dkepromkkjibycaydbjmrnumuajjcbjflyxeqeusvwrrzoarniqdxokz,2022-07-29 04:44:04
116,25,3,mtcwgaddornveannkzysybwtfyhvcyrleeogkqjmgyjuyqctztdmgabt,2022-11-05 11:38:22
117,91,5,bnwjpyrotjkqzqgkcyciakwgtvfeppsjmakzhbxbpfijdezcypokhcdx,2022-10-05 18:27:36
118,74,3,cafemiytgbqwriepgzikoeahitlyufwojhaytkjpxdfzdsqjffndrntj,2022-08-02 10:01:10
119,60,2,pofuotdcggswabnbxadherywolyoikvbiuuioucrbrovakzpeehtrsvp,2023-04-03 04:01:47
120,49,1,jfvpyvnymzfpevyaushmwgaqajwhnenilfcytyoimnykholiugfansje,2022-09-16 08:11:39
121,65,4,mmwokilgzwdvuwhtjljtmpkoqzijotoirtocntyiqmzrfaqttjevoiby,2023-07-27 17:11:19
122,94,5,znvfjeqauplcjysprqzipipvikjqbzshgjhzwrdgasnfeoxxjxhighfs,2023-04-12 23:56:38
123,61,2,qzkmfmhgkebqewttdymqfxaefkfrtesauwarmvdmteooutxhxsvkxzsu,2022-06-29 06:30:18
124,77,1,txwqblahezpxjursgulkwjgzkhjvbkqwtgbisngspmxccbsekfdsypzg,2023-06-25 16:51:45
125,30,2,iyhcixmiymmbmqqalsbjtvgellaehrpylzerdmvnvhizzdwshgnhtwak,2022-07-27 11:00:04
126,82,4,bifnmyyvxnsuphrifwarcldxkfbarkhxyqfiwbetggnlayyifutfytgl,2023-04-05 18:54:23
127,26,1,mmdgeentmlatmmvnrlwsdtubkslntgouxfqqfkztnyuyeqyunwuncbms,2022-12-08 23:59:21
128,68,1,wzlrocbzxyxeltqnbtwzhsrgrrzpsvzclylgpuabmtpgmcxlzjggujog,2023-07-05 17:29:33
129,1,4,qepdxnhtaybofkeenpjlwnndnixkphmqwpvafuuzgpobfydxluaykoiy,2023-06-14 07:45:22
130,84,2,wfrmmezdcmpldvnpdtodbcbtzcbrbiwhiyvvblmkhdhpgmsyuidadenh,2023-04-08 10:06:29
131,7,2,jaecpmyzvgscyfcmrbweqmoqcynuefflliluglhgpkdtklnuxrkfudhx,2022-04-29 00:53:54
132,36,1,xsgeanwpksgaesbltvnldugzerxbrffcpibieepkjwrnabxiewsimwpk,2022-08-19 20:59:12
133,41,3,lajpuknfvwekfwwiyktntlxhperzzawihzxprcykagceyghpppbrzmlm,2022-03-29 21:42:18
134,37,1,ktypaqgfftqtmlfwfblammrhkmjpmlcsnvazklhylhoiqjquvzsekzuw,2023-02-20 19:02:53
135,92,2,tdbwaqsacnlusduhteiuriyimleckeumzamarnqpngduflorvemsoruf,2022-02-23 13:31:33
136,63,3,fgbyyfaodyypgarharnpeqbdxhgzmymkiskvqwibskrdfwfynlmyxfee,2022-12-18 13:50:51
137,48,1,tmlglylmadqtbneoabzjeqkuvggdtzrzudclcffvmgvdfomysqjsokne,2022-07-20 03:13:55
138,10,4,qfgurtttnxcgaywowefhelduipbberxlvgfgqtlcqmxykqajpklqjbfu,2022-03-22 02:51:48
139,9,5,tcrrghumxtopkuartecdoririayrvgpbuctljekhjgzagjgvjnfmhzsd,2022-03-21 08:35:10
140,85,3,esffikcukgoszymefdfgqkpnfbahhisiityayjwmirdclnuuavcmdirz,2022-02-09 08:41:28
141,75,1,qkcrroefzsjamoyzyibvudfnlctbzxszrubmxvqioxxvevbfjtdnzmpz,2022-07-30 04:35:08
142,81,2,knkqkpqckwqcswoneykhxekeyhcmlktprutfxzrdaxkebjxljqegmkpr,2022-09-12 22:52:39
143,44,2,wbnephpcdqptmndixcfckvnjztmthtupjicajzujzcqtdzbgzjdtanyy,2022-11-07 16:40:00
144,15,5,dlolynygvfeeduzvcuhpnobdlqkyfizikufhoasxzpqvewlhpmhlaxso,2022-07-21 22:11:40
145,39,3,adupiancxzyqbwnqafwgpxeidfveatfbrrhjdxwdmzgitcvvumhjgctn,2022-04-25 01:19:36
146,79,2,bzwbuiznpcxuqiijuyprtadacjxutwywxjjzutqbntviphzqjndlcxoq,2022-03-22 14:31:18
147,98,4,ipeazgyqorslpnjgmphefxinlduxkqdnvczyhheuyotelpperuofdnir,2022-08-22 22:38:40
148,2,1,rqskvdnphadlwzisdgeiuprrjrzsompysmkhkcbtjgkdxootknxiyvbz,2023-06-12 00:08:34
149,23,3,hodahryzpbrllzejzexfvnxrtureslgguimahulkkrupygfuntjdthkb,2022-05-30 16:38:39
150,89,3,iulzvdexxjbjssciislvhfhkalvrdsbdqjocyrlkgucqmrupgxxrebcn,2022-02-07 23:17:57
151,88,3,lzvpscwxzfunvybcqorzxaifpiiluodszhdebincbvthvrhsauvnldox,2022-07-20 05:40:26
152,62,4,wzrzkyqblhzrpwsirzefzcnwgkysseforeljyumgnojfdrsdjflukxjv,2022-08-31 18:11:00
153,58,4,dppekwwmkbslzmohvylebfucjfklcaglmspiehpdvmofcikjrflhccvd,2023-04-10 13:15:50
154,34,3,wxyiojhpbwmwgsjksjcclvqvkystlygqqogqbcmukapatezzytmyypkn,2023-07-04 06:27:18
155,33,5,vfmhqwabtjxouhtbmlqxvnocvwihhbbrsyqpxucutgfmhtpfqtkgrbaf,2022-09-04 20:41:27
156,6,2,ivxphmrbwdmgvsrsurhvofkatmajpcqxfdjrbisdziwvypvjjccypjvt,2022-09-10 21:54:02
157,66,4,oacpmeojrotmiahkveiemmydmkxntjmmhjfdvvrkfhynumlfzmefzpgi,2022-05-26 14:26:40
158,14,1,umiraiemluuucuwrjjfqxyaajkekwaiirwoefqttmwegmggudgyxrung,2023-02-15 04:51:39
159,69,3,lsclajhuaxguvtyouwmsuseomapdrpclzaimaqlphgjpdzyataedrfnt,2022-04-02 21:21:54
160,95,3,uegqknelzlvosphgnfahqchmgbyghccfvwieqosuxrhtsrmrqvelmgha,2022-12-08 12:42:30
161,71,1,icklfwecukehcnkemzhhlyvxfnfnmszhbhdgissnxyiyvqugqexxwtmw,2022-07-13 06:57:03
162,47,1,qurablcivyszbxnydizhwenvlgzrtltvbjbvaxbcpojveembwyzohfug,2023-03-06 08:09:05
163,100,3,oxpwjrvoygqzljqnljfhgnxwgtzjpebkxeahynrhadvfdwphqguetezi,2022-07-18 12:22:09
164,78,1,lrfeviryimhaomyilzagacvcjkhaxzmpduskdnquuilmxpntdsnabbdc,2023-03-31 22:24:22
165,86,5,wcpyczghwelqleezfmghvyuafkdndstsjfenjoiecuupcppldyyhmazk,2022-01-22 01:46:29
166,8,3,jpgajbvdxrjhjbqjaqyalrhzxorpjkyxhnedrokpgjyfaifumkffzkls,2022-02-27 12:08:22
167,3,4,zmdtgvwqlahroqdplekzoouaabjtbemgvruvomejqakuxozoqrcsdows,2022-12-29 02:49:06
168,21,2,byztnhpltgmdtazhfgapdsypiqugnvsjhqlgrrqohfrhhdpbwbxxkyoc,2023-03-15 00:02:54
169,22,5,goipebjbzwsnxltquzvyggdhcvfeucbafafsttzucxyvkldobknjxvdr,2023-02-15 19:34:36
170,53,1,adiyjgnpoqogcsonewiujwtttoqgttpwpgwcaimddzcogmaypefaifht,2022-11-09 10:55:26
171,16,3,wijorfmcpiudothxdqgezgdpfeasimmsushohfoqtcqihdjhplwaytdc,2022-11-22 14:01:13
172,20,4,ssaxpbewepsdbfefjbcpbdxnmediapzgpkwnhfwbtwodzqjxkgbipwwu,2022-10-19 21:13:17
173,40,1,srzvtakqulcwecerqkwifenhhisouseamxatyusawygkkgbgrxctbpfh,2022-07-16 12:33:58
174,46,3,bmsvsjajbyljdokmtjmabasbjohxigzlyzwaopzkcwhxwvrilgpouabx,2022-02-19 07:17:37
175,17,2,tpxcnjsmqmyfutspmntofepqvdxhjzbmzsgvvyvybtmmxekamcuchklp,2023-03-28 16:00:47
176,55,5,dnkxplokbfsepqpcregwzgbtussrjdqooatoaxnarpdroaemlfzlxfbs,2023-05-11 06:39:59
177,76,1,hotihfmabxuhirrxrlvtpscxqawilvixvbppjxlmmwiimdjdjzampbhl,2022-07-18 19:12:15
178,73,2,jsquiljiatonjhwqyzzygdgfragbhrekqjmzzprevcyywfacvdlfgupg,2022-05-15 00:50:19
179,54,2,rmcivlykwgcbdqvwktwgudigacfuahsyywsqrwykrbzkvlnzikbfqntc,2022-02-02 16:19:47
180,72,5,ufsfbskegidgabcxkaazrtpulnlvnpsizczchylbctgrpkfcvekelrqs,2023-06-15 19:29:44
181,83,1,tmjyfsiojmhgakdbcsgyuuoaadyjcwokcvyzpxbrayyhsljdezulyjrr,2022-11-27 09:10:25
182,67,2,wwsospybxzbgfvluwwipiskwdykgjpvannwikpapgujsixnrldkbpbit,2023-04-14 01:45:37
183,18,2,rstlxfypuukcsrcwhnzwhfnolzsqdkhwqcfjwwligstnekmhhppdwhey,2023-02-11 20:42:50
184,56,2,qwuhgfpovhtoxqtzuikycoxlynrssyqmdwjssizpdzicmwnoewvrocgd,2022-02-17 06:35:04
185,4,4,gduwtbtmbgwgioqzcrmrmyzurkjylmtllkgzboolhyvbuykmhhkexrig,2022-03-24 18:08:34
186,5,1,ffhdrnnstzdaqfcizfyvmbftginymhhlonlkdlmtjnckftmlrwulmgzr,2023-03-16 13:54:46
187,51,4,uixuspbacjtrzinsitzxqxrzlyosyygbnnfoojaosokuqasgrpfeunje,2022-10-11 14:27:27
188,19,2,weiwdqjpmcxwszasiafwamawykkeugkiqzwvtywnzyelswdqjuzakigx,2023-05-31 15:11:38
189,35,1,hiyrlqsbtderjnchjkfvhrxghywqnvglgqupfxfusqwznfkcfhynjclb,2022-05-01 16:13:52
190,97,4,xiupakaxyjupjefujdjrjxrgqsinkjrwykfusqnlsvdrnufwkrchbxjs,2023-04-19 04:54:47
191,50,1,igarsqsygapadrqptxibdhviuulmzmksirqfcxgvsngonuebycxyggkj,2022-07-17 16:25:54
192,24,5,mtakwwyelyqyeuqyixwvukrsseopiyenidarrerwxrbkojcjrfaukheb,2022-03-25 21:40:55
193,29,4,sbcwrurrfclwuscbojnaoekplaerwoxgbfxhtomdykcoxjjlezfkkcpp,2022-07-01 07:47:54
194,93,2,oknvkdxkvtvsynosgqkpitkkjsnuhoiojhmcpsyrplzqjopbvvyuxthj,2022-02-06 11:38:44
195,12,4,zrjhqtabflpcuxnlvgeeyfibnlwroeykqhmndbooqpbpatwokhtwdeeb,2022-09-24 14:01:48
196,96,3,frrafnlkotbmdvmkmdfetluenrhrqyctlcsudjybgkyvtxffkngvfwkc,2022-10-14 08:16:03
197,11,3,umzamxbzdqaqwvzoqboxvqbcjjdleiouhzwmubmqjvewrriymxkkroya,2023-07-16 08:50:24
198,32,3,zhubzalrwdoohgtgdfhfshyfdogogfdvihmnwxhiquhauisdumkbksja,2022-03-22 10:11:24
199,45,3,panocakjwninxkkdpravsfudfeekppbxixuulhxrygbharamnzpconkg,2022-05-23 20:05:56
200,96,4,zbrknvyytzaglsnadyulhqkywcnybsuhgxyqcfewoxpygulwfvvgrdhb,2022-07-02 03:17:51
201,14,3,vyqwzigolhgdvbgxtywlgzheaifzqixvbrlqhsxeyxwrdtoiucnpxlyf,2023-02-23 06:56:51
202,57,4,ntvjfidliyvxxclpucciytrzoxhxmxgiqkjtzmldxxdofhevocrqdasx,2023-08-25 22:40:32
203,7,4,bizqhyjkvtwmfxbxkfwybukgcdxcveyawevcitcjkwhmaoykzktztfia,2023-03-14 00:48:50
204,3,2,ruznzkyrhgoxnhjrmjtvfqyywyrupqbyhwgiiykzgakwcbjrrvkdsvuz,2023-06-19 17:39:41
205,77,3,olmsgytureuygubqnysfvyyqyzxmikbobfubcarxzxptkdsihojxguko,2022-08-16 13:28:32
206,54,3,uwpnvtucgpkbdrunaazwwgikuzfdkyjhmxaqkzrfloeufpgjgfpdqtyw,2023-07-12 05:38:27
207,70,4,gsqlfrrunonntnirikmylxiwhrbcyvovlfoghwotgarkzpsojhyceujy,2023-04-10 10:33:13
208,26,4,byhutbjruwsxkccatwsqewexasdhauhlfnrfbxfbdewukwnmbkcbrzlb,2022-08-27 04:46:40
209,9,2,btqdrlnusvkgrofoauzkoidrwkavrljcwvxsdrtrxehygxrlkowmspbs,2023-08-24 16:48:30
210,46,4,ilpvqlxrmbsfiomndawueyvafiusautcdtcopqsfcrdwaroocdvafyjt,2022-08-24 19:38:40
211,59,3,nrjnnnflixutjasqakyahlgdmrlyldvaeabztkvclazowuxtfgtdsako,2022-03-13 08:15:10
212,98,1,ixdjekkshlruohjevmtrrsfgwvidazaqeytctbvxbgkrxaednwfjdpsw,2023-05-05 00:43:45
213,61,3,xfmrwkudosgwavzltdkyxqyncdifhqtagkiqybkkcsjoxdutyvslfskf,2022-05-03 04:59:39
214,52,3,wnfogdespbclwaygyeqxaxrlawdiljqvqobqqfpbcxeaihzgetzextqx,2023-08-30 08:13:50
215,44,4,qnxwvqglbccbyelhszclgxkmvwiimmynfxgztwbxfbsszofugblawyjj,2022-08-04 13:00:12
216,21,4,tihjxrfvrgmfqikgithcocvhfapayroshhcpmhbxkvnpnbcbewkkozwk,2023-07-30 14:50:21
